[train-0/1000] [acc-0.7479, loss-0.0431] [3322/4442]
[val-0/1000] [acc-0.7969, loss-0.0358] [1169/1467]
[train-1/1000] [acc-0.9111, loss-0.0165] [4047/4442]
[val-1/1000] [acc-0.8378, loss-0.0342] [1229/1467]
[train-2/1000] [acc-0.9469, loss-0.0094] [4206/4442]
[val-2/1000] [acc-0.8010, loss-0.0473] [1175/1467]
[train-3/1000] [acc-0.9509, loss-0.0092] [4224/4442]
[val-3/1000] [acc-0.7955, loss-0.0511] [1167/1467]
[train-4/1000] [acc-0.9674, loss-0.0057] [4297/4442]
[val-4/1000] [acc-0.8003, loss-0.0586] [1174/1467]
[train-5/1000] [acc-0.9809, loss-0.0037] [4357/4442]
[val-5/1000] [acc-0.8173, loss-0.0469] [1199/1467]
[train-6/1000] [acc-0.9786, loss-0.0040] [4347/4442]
[val-6/1000] [acc-0.8371, loss-0.0467] [1228/1467]
[train-7/1000] [acc-0.9804, loss-0.0035] [4355/4442]
[val-7/1000] [acc-0.8010, loss-0.0677] [1175/1467]
[train-8/1000] [acc-0.9845, loss-0.0030] [4373/4442]
[val-8/1000] [acc-0.8139, loss-0.0655] [1194/1467]
[train-9/1000] [acc-0.9833, loss-0.0034] [4368/4442]
[val-9/1000] [acc-0.8146, loss-0.0582] [1195/1467]
[train-10/1000] [acc-0.9910, loss-0.0018] [4402/4442]
[val-10/1000] [acc-0.8105, loss-0.0597] [1189/1467]
[train-11/1000] [acc-0.9962, loss-0.0007] [4425/4442]
[val-11/1000] [acc-0.8228, loss-0.0562] [1207/1467]
[train-12/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-12/1000] [acc-0.8221, loss-0.0550] [1206/1467]
[train-13/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-13/1000] [acc-0.8364, loss-0.0566] [1227/1467]
[train-14/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-14/1000] [acc-0.8303, loss-0.0539] [1218/1467]
[train-15/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-15/1000] [acc-0.8398, loss-0.0547] [1232/1467]
[train-16/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-16/1000] [acc-0.8398, loss-0.0534] [1232/1467]
[train-17/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-17/1000] [acc-0.8371, loss-0.0537] [1228/1467]
[train-18/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-18/1000] [acc-0.8344, loss-0.0543] [1224/1467]
